"trip_number","carrier","origin","destination","weeknumber","distance","cost","dispatch","arrival","equipment","cpm"
"3009759","WYZ TRANSPORTATION INC","IND-DAFG","ONT","24","2031","3087.12","20240611 110000.000","20240612 214034.000","LTL-Fleet","1.52"
"3009592","WYZ TRANSPORTATION INC","ONT","IND-DAFG","23","2031","3087.12","20240608 103643.000","20240610 025544.000","LTL-Fleet","1.52"
"3009865","WTL TRUCKING INC","EWR","LAX","24","2753","3854.2","20240611 002100.000","20240612 181930.000","LTL-Fleet","1.4"
"3009594","WTL TRUCKING INC","ONT","MDW-CXIT","23","1962","2903.76","20240608 022813.000","20240610 024911.000","LTL-Fleet","1.48"
"3009589","WTL TRUCKING INC","ONT","EWR","23","2712","3796.8","20240608 141500.000","20240610 162844.000","LTL-Fleet","1.4"
"3008751","WTL TRUCKING INC","EWR","ONT","23","2712","3796.8","20240604 011300.000","20240605 195043.000","LTL-Fleet","1.4"
"3008489","WTL TRUCKING INC","ONT","EWR","22","2712","3796.8","20240601 142800.000","20240603 155355.000","LTL-Fleet","1.4"
"3009393","WILLIAMSON TRUCKING LLC","ONT","CHT","23","2334","3267.6","20240607 035854.000","20240608 213700.000","LTL-Fleet","1.4"
"3008962","WILLIAMSON TRUCKING LLC","CHT","LAX","23","2380","3332","20240605 083910.000","20240607 043244.000","LTL-Fleet","1.4"
"3008364","WILLIAMSON TRUCKING LLC","ONT","CHT","22","2334","3267.6","20240601 010251.000","20240602 194104.000","LTL-Fleet","1.4"
"3009143","WEST MOTOR FREIGHT OF PA","EWR","AUB","23","2784","6904.32","20240607 142545.000","20240610 035958.000","LTL- 1way","2.48"
"3008746","WEST MOTOR FREIGHT OF PA","EWR","AUB","23","2784","6904.32","20240605 023000.000","20240607 010055.000","LTL- 1way","2.48"
"3008498","WEST MOTOR FREIGHT OF PA","EWR","AUB","22","2784","6904.32","20240601 083700.000","20240604 003643.000","LTL- 1way","2.48"
"3010218","VBZ GROUP CORP","MIS","EWR","24","1242","1825.74","20240613 020000.000","20240614 003213.000","LTL-Fleet","1.47"
"3010211","VBZ GROUP CORP","ATM","EWR","24","811","1589.56","20240613 073300.000","20240613 235823.000","LTL-Fleet","1.96"
"3010178","VBZ GROUP CORP","EWR","MIS","24","1242","1825.74","20240613 015300.000","20240613 224429.000","LTL-Fleet","1.47"
"3010044","VBZ GROUP CORP","EWR","ATM","24","811","1589.56","20240612 022400.000","20240613 004838.000","LTL-Fleet","1.96"
"3009998","VBZ GROUP CORP","MIS","EWR","24","1242","1825.74","20240612 013300.000","20240613 011150.000","LTL-Fleet","1.47"
"3009983","VBZ GROUP CORP","EWR","MIS","24","1242","1825.74","20240612 022400.000","20240613 011551.000","LTL-Fleet","1.47"
"3009773","VBZ GROUP CORP","MIS","EWR","24","1242","1825.74","20240610 231400.000","20240611 224232.000","LTL-Fleet","1.47"
"3009754","VBZ GROUP CORP","ATM","EWR","24","811","1589.56","20240611 105300.000","20240612 015245.000","LTL-Fleet","1.96"
"3009595","VBZ GROUP CORP","ONT","MIS","23","2606","3830.82","20240608 223500.000","20240611 000007.000","LTL-Fleet","1.47"
"3009569","VBZ GROUP CORP","EWR","ATM","23","811","1589.56","20240609 153122.000","20240609 153154.000","LTL-Fleet","1.96"
"3009563","VBZ GROUP CORP","MIS","DAL","23","1304","1916.88","20240608 023000.000","20240609 123453.000","LTL-Fleet","1.47"
"3009556","VBZ GROUP CORP","ATM","EWR","23","811","1589.56","20240608 045800.000","20240609 194122.000","LTL-Fleet","1.96"
"3009514","VBZ GROUP CORP","EWR","MIS","23","1242","1825.74","20240608 041331.000","20240609 020804.000","LTL-Fleet","1.47"
"3009437","VBZ GROUP CORP","SFO","EWR","23","2903","4238.38","20240608 033800.000","20240610 094154.000","LTL-Fleet","1.46"
"3009371","VBZ GROUP CORP","MIS","ONT","23","2606","3830.82","20240607 002000.000","20240609 035321.000","LTL-Fleet","1.47"
"3009370","VBZ GROUP CORP","MIS","EWR","23","1242","1825.74","20240607 012000.000","20240608 015208.000","LTL-Fleet","1.47"
"3009341","VBZ GROUP CORP","EWR","MIS","23","1242","1825.74","20240607 004711.000","20240607 232356.000","LTL-Fleet","1.47"
"3009336","VBZ GROUP CORP","EWR","ATM","23","811","1589.56","20240607 021016.000","20240608 181626.000","LTL-Fleet","1.96"
"3009306","VBZ GROUP CORP","DAL","MIS","23","1304","1916.88","20240609 022300.000","20240610 031336.000","LTL-Fleet","1.47"
"3009235","VBZ GROUP CORP","ONT","MIS","23","2606","3830.82","20240607 014337.000","20240609 050324.000","LTL-Fleet","1.47"
"3009229","VBZ GROUP CORP","SFO","ORL","23","2772","3880.8","20240608 023900.000","20240610 091946.000","LTL-Fleet","1.4"
"3009175","VBZ GROUP CORP","MIS","EWR","23","1242","1825.74","20240606 013114.000","20240607 000926.000","LTL-Fleet","1.47"
"3009158","VBZ GROUP CORP","ATM","EWR","23","811","1589.56","20240606 092800.000","20240607 012256.000","LTL-Fleet","1.96"
"3009146","VBZ GROUP CORP","EWR","SFO","23","2898","4231.08","20240606 024000.000","20240608 202456.000","LTL-Fleet","1.46"
"3009136","VBZ GROUP CORP","EWR","MIS","23","1242","1825.74","20240606 013200.000","20240606 215048.000","LTL-Fleet","1.47"
"3009050","VBZ GROUP CORP","DAL","MIS","23","1304","1916.88","20240605 202755.000","20240607 012454.000","LTL-Fleet","1.47"
"3008976","VBZ GROUP CORP","MIS","ORL","23","228","319.2","20240604 103703.000","20240604 180118.000","LTL-Fleet","1.4"
"3008969","VBZ GROUP CORP","MIS","EWR","23","1242","1825.74","20240605 010200.000","20240606 005104.000","LTL-Fleet","1.47"
"3008967","VBZ GROUP CORP","MIS","ONT","23","2606","3830.82","20240605 012400.000","20240606 215826.000","LTL-Fleet","1.47"
"3008952","VBZ GROUP CORP","EWR","MIS","23","1242","1825.74","20240605 012000.000","20240606 002049.000","LTL-Fleet","1.47"
"3008942","VBZ GROUP CORP","EWR","ATM","23","811","1589.56","20240605 035000.000","20240606 002344.000","LTL-Fleet","1.96"
"3008785","VBZ GROUP CORP","MIS","DAL","23","1304","1916.88","20240604 134500.000","20240606 014800.000","LTL-Fleet","1.47"
"3008783","VBZ GROUP CORP","MIS","EWR","23","1242","1825.74","20240603 231700.000","20240604 225734.000","LTL-Fleet","1.47"
"3008781","VBZ GROUP CORP","MIS","SFO","23","2994","4371.24","20240605 224500.000","20240608 202547.000","LTL-Fleet","1.46"
"3008776","VBZ GROUP CORP","ATM","EWR","23","811","1589.56","20240604 103900.000","20240605 032403.000","LTL-Fleet","1.96"
"3008555","VBZ GROUP CORP","ONT","MIA-AVRT","22","2582","3795.54","20240601 223000.000","20240603 214603.000","LTL-Fleet","1.47"
"3008528","VBZ GROUP CORP","MIS","DAL","22","1304","1916.88","20240601 014400.000","20240602 134531.000","LTL-Fleet","1.47"
"3008520","VBZ GROUP CORP","ATM","EWR","22","811","1589.56","20240601 015020.000","20240602 165124.000","LTL-Fleet","1.96"
"3008504","VBZ GROUP CORP","EWR","MIS","22","1242","1825.74","20240601 094600.000","20240602 073719.000","LTL-Fleet","1.47"
"3008497","VBZ GROUP CORP","EWR","ATM","22","811","1589.56","20240602 103009.000","20240602 103045.000","LTL-Fleet","1.96"
"3008438","VBZ GROUP CORP","SFO","EWR","22","2903","4238.38","20240601 062100.000","20240603 101727.000","LTL-Fleet","1.46"
"3008330","VBZ GROUP CORP","DAL","MIS","22","1304","1916.88","20240602 022100.000","20240603 002600.000","LTL-Fleet","1.47"
"3008238","VBZ GROUP CORP","SFO","ORL","22","2772","3880.8","20240601 032100.000","20240603 075430.000","LTL-Fleet","1.4"
"3009830","TRANSCO LINES, INC","DAL","MIS","24","1304","2438.48","20240612 013800.000","20240613 032857.000","LTL-DED","1.87"
"3009510","TRANSCO LINES, INC","ONT","DAL","23","1304","2438.48","20240608 071710.000","20240609 154717.000","LTL-DED","1.87"
"3009385","TRANSCO LINES, INC","DAL","ONT","23","1304","2438.48","20240607 054156.000","20240608 072546.000","LTL-DED","1.87"
"3009259","TRANSCO LINES, INC","MIS","DAL","23","1304","2438.48","20240606 050000.000","20240607 060238.000","LTL-DED","1.87"
"3008845","TRANSCO LINES, INC","DAL","MIS","23","1304","2438.48","20240604 224600.000","20240606 043019.000","LTL-DED","1.87"
"3008551","TRANSCO LINES, INC","ONT","DAL","22","1304","2438.48","20240601 175000.000","20240602 213706.000","LTL-DED","1.87"
"3009816","TIANFU LOGISTICS INC","IND-PITD","HTX","24","978","1809.3","20240612 102700.000","20240613 031200.000","LTL-Fleet","1.85"
"3009807","TIANFU LOGISTICS INC","DAL","IND-PITD","24","881","1629.85","20240610 225700.000","20240611 144430.000","LTL-Fleet","1.85"
"3009558","TIANFU LOGISTICS INC","CHT","ONT","23","2334","3267.6","20240608 095600.000","20240610 014237.000","LTL-Fleet","1.4"
"3009194","TIANFU LOGISTICS INC","ONT","CHT","23","2334","3267.6","20240606 115000.000","20240608 084626.000","LTL-Fleet","1.4"
"3009232","SPEEDY TRANSPORT GROUP INC","ONT","TOR-SZTG","23","2457","4914","20240608 062728.000","20240610 053037.000","LTL- 1way","2"
"3008814","SPEEDY TRANSPORT GROUP INC","ONT","TOR-SZTG","23","2457","4914","20240605 091000.000","20240607 103016.000","LTL- 1way","2"
"3008565","SPEEDY TRANSPORT GROUP INC","ONT","TOR-SZTG","22","2457","4914","20240601 093616.000","20240603 220014.000","LTL- 1way","2"
"3010209","SCHNEIDER NATIONAL CARRIERS INC.","ATM","EWR","24","811","2068.05","20240613 012900.000","20240613 232320.000","LTL- 1way","2.55"
"3010174","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","24","580","1165.8","20240613 045400.000","20240613 160352.000","LTL- 1way","2.01"
"3009979","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","24","580","1165.8","20240612 023500.000","20240612 200844.000","LTL- 1way","2.01"
"3009827","SCHNEIDER NATIONAL CARRIERS INC.","ONT","SAT","24","1274","2815.54","20240611 225457.000","20240613 031005.000","LTL- 1way","2.21"
"3009762","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","24","580","1165.8","20240611 023000.000","20240611 131507.000","LTL- 1way","2.01"
"3009346","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","23","580","1165.8","20240607 022013.000","20240607 155055.000","LTL- 1way","2.01"
"3009153","SCHNEIDER NATIONAL CARRIERS INC.","DAL","IND-PITD","23","881","1762","20240606 020900.000","20240606 221756.000","LTL- 1way","2"
"3008987","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","23","580","1165.8","20240605 014000.000","20240605 114125.000","LTL- 1way","2.01"
"3008806","SCHNEIDER NATIONAL CARRIERS INC.","ONT","SAT","23","1274","2815.54","20240604 012038.000","20240605 044513.000","LTL- 1way","2.21"
"3008756","SCHNEIDER NATIONAL CARRIERS INC.","EWR","CHT","23","580","1165.8","20240604 015500.000","20240604 164604.000","LTL- 1way","2.01"
"3008564","SCHNEIDER NATIONAL CARRIERS INC.","ONT","SAT","22","1274","2815.54","20240601 223700.000","20240603 052144.000","LTL- 1way","2.21"
"3009996","QUICK M TRANSPORT CORP","MIS","EWR","24","1242","1825.74","20240611 235800.000","20240612 233954.000","LTL-Fleet","1.47"
"3009766","QUICK M TRANSPORT CORP","EWR","MIS","24","1242","1825.74","20240611 010300.000","20240611 224045.000","LTL-Fleet","1.47"
"3009560","QUICK M TRANSPORT CORP","MIS","EWR","23","1242","1825.74","20240607 205800.000","20240609 194226.000","LTL-Fleet","1.47"
"3009135","QUICK M TRANSPORT CORP","EWR","JAX","23","904","1346.96","20240606 005500.000","20240606 174840.000","LTL-Fleet","1.49"
"3008966","QUICK M TRANSPORT CORP","MIS","EWR","23","1242","1825.74","20240604 231300.000","20240605 222118.000","LTL-Fleet","1.47"
"3008788","QUICK M TRANSPORT CORP","EWR","MIS","23","1242","1825.74","20240604 005100.000","20240604 222247.000","LTL-Fleet","1.47"
"3009918","POINTDIRECT TRANSPORT INC","ONT","EWR","24","2712","5152.8","20240611 000607.000","20240613 020047.000","LTL-DED","1.9"
"3009828","POINTDIRECT TRANSPORT INC","ONT","BOS","24","2942","5589.8","20240611 053415.000","20240613 190857.000","LTL-DED","1.9"
"3009355","POINTDIRECT TRANSPORT INC","EWR","ONT","23","2712","3796.8","20240607 015845.000","20240609 035424.000","LTL-DED","1.4"
"3009211","POINTDIRECT TRANSPORT INC","BOS","ONT","23","2942","4118.8","20240607 003000.000","20240609 075004.000","LTL-DED","1.4"
"3008998","POINTDIRECT TRANSPORT INC","ONT","IND-DAFG","23","2031","3858.9","20240605 044004.000","20240606 195823.000","LTL- 1way","1.9"
"3008875","POINTDIRECT TRANSPORT INC","ONT","BOS","23","2942","5589.8","20240604 054326.000","20240606 175206.000","LTL-DED","1.9"
"3008873","POINTDIRECT TRANSPORT INC","ONT","EWR","23","2712","5152.8","20240603 231051.000","20240606 022146.000","LTL-DED","1.9"
"3009829","PNA TRUCKING INC","ONT","WSH-PITD","24","2348","3287.2","20240611 064120.000","20240613 092409.000","LTL-Fleet","1.4"
"3009165","PNA TRUCKING INC","WSH-PITD","ONT","23","2348","3287.2","20240606 112200.000","20240608 013632.000","LTL-Fleet","1.4"
"3008810","PNA TRUCKING INC","ONT","WSH-PITD","23","2348","3287.2","20240604 063057.000","20240606 072257.000","LTL-Fleet","1.4"
"3010025","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","NAS-AVRT","24","1958","3974.74","20240612 013239.000","20240613 170000.000","LTL- 1way","2.03"
"3009917","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","DAL","24","1304","3273.04","20240611 012702.000","20240612 042643.000","LTL- 1way","2.51"
"3009872","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ATM","24","2097","4361.76","20240612 001353.000","20240614 002509.000","LTL- 1way","2.08"
"3009861","PATIALA EXPRESS INC DBA PEI OHIO INC","ATM","ONT","24","2097","2998.71","20240611 010000.000","20240612 120712.000","LTL-DED","1.43"
"3009810","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ATL","24","2085","4315.95","20240611 001530.000","20240612 220005.000","LTL- 1way","2.07"
"3009656","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","LIT-DHRN","23","1832","3773.92","20240608 083453.000","20240609 230042.000","LTL- 1way","2.06"
"3009655","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","MDW-CXIT","23","1962","4316.4","20240608 030112.000","20240609 230018.000","LTL- 1way","2.2"
"3009651","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","WSH-PITD","23","2389","5518.59","20240608 004117.000","20240610 021437.000","LTL- 1way","2.31"
"3009584","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","BWI","23","2581","5962.11","20240608 073915.000","20240610 080044.000","LTL- 1way","2.31"
"3009583","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ATM","23","2097","4361.76","20240608 011257.000","20240609 173146.000","LTL- 1way","2.08"
"3009571","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","DAL","23","1350","3375","20240608 012220.000","20240609 154737.000","LTL- 1way","2.5"
"3009426","PATIALA EXPRESS INC DBA PEI OHIO INC","SFO","DAL","23","1692","4230","20240608 033000.000","20240610 012355.000","LTL- 1way","2.5"
"3009410","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","YRK-PYLE","23","2573","5660.6","20240607 132033.000","20240609 150055.000","LTL- 1way","2.2"
"3009378","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","DAL","23","1350","3375","20240607 172945.000","20240609 205018.000","LTL- 1way","2.5"
"3009327","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","NAS","23","1965","3988.95","20240607 110900.000","20240609 190014.000","LTL- 1way","2.03"
"3009326","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","EWR","23","2753","6359.43","20240606 234627.000","20240609 160543.000","LTL- 1way","2.31"
"3009312","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","BWI","23","2581","5962.11","20240607 133016.000","20240609 120048.000","LTL- 1way","2.31"
"3009289","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","ORL","23","2430","5321.7","20240608 021714.000","20240610 013024.000","LTL- 1way","2.19"
"3009255","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","BWI","23","2722","6396.7","20240608 011811.000","20240610 023049.000","LTL- 1way","2.35"
"3009233","PATIALA EXPRESS INC DBA PEI OHIO INC","SFO","EWR","23","2903","6909.14","20240605 223000.000","20240609 194331.000","LTL- 1way","2.38"
"3009228","PATIALA EXPRESS INC DBA PEI OHIO INC","SFO","MDW-CXIT","23","2125","4675","20240607 225000.000","20240609 220057.000","LTL- 1way","2.2"
"3009225","PATIALA EXPRESS INC DBA PEI OHIO INC","SFO","MIS","23","2994","6646.68","20240607 214000.000","20240610 132915.000","LTL- 1way","2.22"
"3009222","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ORH-RXIC","23","2878","6705.74","20240607 005500.000","20240609 090013.000","LTL- 1way","2.33"
"3009206","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","RIC-AVRT","23","2549","5250.94","20240607 080500.000","20240609 203027.000","LTL- 1way","2.06"
"3009100","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","MIS","23","2652","5913.96","20240608 011503.000","20240610 200014.000","LTL- 1way","2.23"
"3009097","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","OSH","23","2021","4648.3","20240605 041114.000","20240607 003034.000","LTL- 1way","2.3"
"3009094","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","BOS","23","2942","6766.6","20240605 005127.000","20240608 000001.000","LTL- 1way","2.3"
"3009046","PATIALA EXPRESS INC DBA PEI OHIO INC","CLE-PITD","ONT","23","2290","3274.7","20240605 104500.000","20240607 014804.000","LTL-DED","1.43"
"3009004","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","COL-USCO","23","2194","4826.8","20240605 021539.000","20240606 210039.000","LTL- 1way","2.2"
"3008999","PATIALA EXPRESS INC DBA PEI OHIO INC","ATB-SEFL","ONT","23","2097","2998.71","20240605 121000.000","20240607 031818.000","LTL-DED","1.43"
"3008917","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","NAS-AVRT","23","1958","3974.74","20240605 001938.000","20240606 130046.000","LTL- 1way","2.03"
"3008910","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","EWR","23","2712","6264.72","20240604 031301.000","20240606 140301.000","LTL- 1way","2.31"
"3008868","PATIALA EXPRESS INC DBA PEI OHIO INC","ATM","ONT","23","2097","4361.76","20240604 104000.000","20240606 001022.000","LTL- 1way","2.08"
"3008849","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","MIS","23","2658","5927.34","20240603 225252.000","20240606 053016.000","LTL- 1way","2.23"
"3008790","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","DTW-DAFG","23","2239","4925.8","20240604 020220.000","20240605 233842.000","LTL- 1way","2.2"
"3008652","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","CHT","22","2334","4621.32","20240601 173200.000","20240604 030043.000","LTL- 1way","1.98"
"3008651","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","EWR","22","2712","6264.72","20240601 063738.000","20240603 101748.000","LTL- 1way","2.31"
"3008646","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","WSH-PITD","22","2389","5590.26","20240601 013500.000","20240603 020016.000","LTL- 1way","2.34"
"3008635","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","ORL","22","2430","5321.7","20240601 013000.000","20240603 003001.000","LTL- 1way","2.19"
"3008630","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","EWR","22","2753","6359.43","20240601 030000.000","20240603 132221.000","LTL- 1way","2.31"
"3008599","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ORL","22","2384","5173.28","20240601 131400.000","20240603 111931.000","LTL- 1way","2.17"
"3008570","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","LIT-DHRN","22","1832","3773.92","20240601 105054.000","20240602 233042.000","LTL- 1way","2.06"
"3008556","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","NAS-AVRT","22","1958","3974.74","20240601 060808.000","20240603 023034.000","LTL- 1way","2.03"
"3008554","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","MDW-CXIT","22","1962","3963.24","20240601 035234.000","20240602 183050.000","LTL- 1way","2.02"
"3008494","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ATM","22","2097","4361.76","20240601 081055.000","20240603 020003.000","LTL- 1way","2.08"
"3008490","PATIALA EXPRESS INC DBA PEI OHIO INC","LAX","DAL","22","1350","3375","20240601 070000.000","20240602 225323.000","LTL- 1way","2.5"
"3008417","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","RIC-AVRT","22","2549","5250.94","20240601 104925.000","20240603 110902.000","LTL- 1way","2.06"
"3008214","PATIALA EXPRESS INC DBA PEI OHIO INC","ONT","ORH-RXIC","22","2878","6705.74","20240601 031259.000","20240603 105827.000","LTL- 1way","2.33"
"3010006","PARENTS TRANSPORTATION LLC","DAL","ATM","24","795","1558.2","20240612 080806.000","20240613 004854.000","LTL-Fleet","1.96"
"3009753","PARENTS TRANSPORTATION LLC","ATM","DAL","24","795","1558.2","20240610 232517.000","20240611 111534.000","LTL-Fleet","1.96"
"3009389","PARENTS TRANSPORTATION LLC","DAL","ATM","23","795","1558.2","20240607 143726.000","20240608 182156.000","LTL-Fleet","1.96"
"3009157","PARENTS TRANSPORTATION LLC","ATM","DAL","23","795","1558.2","20240606 013206.000","20240606 143049.000","LTL-Fleet","1.96"
"3008992","PARENTS TRANSPORTATION LLC","DAL","ATM","23","795","1558.2","20240605 090047.000","20240606 005704.000","LTL-Fleet","1.96"
"3008775","PARENTS TRANSPORTATION LLC","ATM","DAL","23","795","1558.2","20240604 010437.000","20240604 173913.000","LTL-Fleet","1.96"
"3009223","PAM TRANSPORT, INC","ONT","SYR-PYLE","23","2625","6772.5","20240607 200255.000","20240610 040300.000","LTL- 1way","2.58"
"3008209","PAM TRANSPORT, INC","ONT","SYR-PYLE","22","2625","6772.5","20240601 004427.000","20240603 020026.000","LTL- 1way","2.58"
"3009631","OTAAL TRANSPORT","SFO","BOS","23","3131","4383.4","20240608 091700.000","20240611 010005.000","LTL-Fleet","1.4"
"3009421","OTAAL TRANSPORT","MDW-CXIT","SFO","23","2125","3145","20240607 102400.000","20240609 175805.000","LTL-Fleet","1.48"
"3008867","OTAAL TRANSPORT","SFO","OSH","23","2147","3005.8","20240604 225000.000","20240607 025205.000","LTL-Fleet","1.4"
"3008753","OTAAL TRANSPORT","EWR","SFO","23","2903","4064.2","20240605 015000.000","20240607 074353.000","LTL-Fleet","1.4"
"3008633","OTAAL TRANSPORT","SFO","EWR","22","2903","4064.2","20240601 062400.000","20240603 213818.000","LTL-Fleet","1.4"
"3010042","ORANGE TRANSPORTATION LLC","MDW-CXIT","DAL","24","932","1724.2","20240611 221900.000","20240612 160833.000","LTL-Fleet","1.85"
"3010008","ORANGE TRANSPORTATION LLC","DAL","ONT","24","1304","1825.6","20240612 011100.000","20240612 224111.000","LTL-Fleet","1.4"
"3009847","ORANGE TRANSPORTATION LLC","LRD","ONT","24","1320","1848","20240611 234900.000","20240613 003520.000","LTL-Fleet","1.4"
"3009805","ORANGE TRANSPORTATION LLC","DAL","PER-DHRN","24","863","1596.55","20240611 021000.000","20240611 140731.000","LTL-Fleet","1.85"
"3009590","ORANGE TRANSPORTATION LLC","ONT","DAL","23","1304","1825.6","20240609 053340.000","20240609 034803.000","LTL-Fleet","1.4"
"3009587","ORANGE TRANSPORTATION LLC","ONT","DAL","23","1304","1825.6","20240608 012612.000","20240609 181959.000","LTL-Fleet","1.4"
"3009434","ORANGE TRANSPORTATION LLC","HTX","ONT","23","1453","2034.2","20240607 224900.000","20240609 034833.000","LTL-Fleet","1.4"
"3009419","ORANGE TRANSPORTATION LLC","MDW-CXIT","DAL","23","932","1724.2","20240607 000400.000","20240607 171746.000","LTL-Fleet","1.85"
"3009390","ORANGE TRANSPORTATION LLC","DAL","ONT","23","1304","1825.6","20240607 023807.000","20240608 005410.000","LTL-Fleet","1.4"
"3009243","ORANGE TRANSPORTATION LLC","ONT","AFW","23","1286","1800.4","20240606 011742.000","20240607 034339.000","LTL-Fleet","1.4"
"3009152","ORANGE TRANSPORTATION LLC","DAL","PER-DHRN","23","863","1596.55","20240606 002300.000","20240606 154346.000","LTL-Fleet","1.85"
"3009110","ORANGE TRANSPORTATION LLC","ONT","DAL","23","1304","1825.6","20240605 235420.000","20240607 002759.000","LTL-Fleet","1.4"
"3008985","ORANGE TRANSPORTATION LLC","MDW-CXIT","DAL","23","932","1724.2","20240604 233600.000","20240605 154416.000","LTL-Fleet","1.85"
"3008844","ORANGE TRANSPORTATION LLC","DAL","ONT","23","1304","1825.6","20240605 000900.000","20240605 223350.000","LTL-Fleet","1.4"
"3008816","ORANGE TRANSPORTATION LLC","LRD","ONT","23","1320","1848","20240604 230200.000","20240605 232123.000","LTL-Fleet","1.4"
"3008670","ORANGE TRANSPORTATION LLC","DAL","PER-DHRN","23","863","1596.55","20240604 053056.000","20240604 204546.000","LTL-Fleet","1.85"
"3008605","ORANGE TRANSPORTATION LLC","ONT","AFW","22","1286","1800.4","20240602 020200.000","20240603 024942.000","LTL-Fleet","1.4"
"3008604","ORANGE TRANSPORTATION LLC","DAL","ONT","22","1304","1825.6","20240601 003300.000","20240602 030418.000","LTL-Fleet","1.4"
"3008545","ORANGE TRANSPORTATION LLC","ONT","DAL","22","1304","1825.6","20240601 024221.000","20240602 134502.000","LTL-Fleet","1.4"
"3010007","OMNI GALAXY TRANSPORTATION INC","DAL","EWR","24","1525","2135","20240612 072447.000","20240613 175201.000","LTL-Fleet","1.4"
"3009814","OMNI GALAXY TRANSPORTATION INC","ONT","DAL","24","1304","1825.6","20240611 011341.000","20240612 064620.000","LTL-Fleet","1.4"
"3009755","OMNI GALAXY TRANSPORTATION INC","ATB-SEFL","ONT","24","2097","2935.8","20240611 071850.000","20240612 225553.000","LTL-Fleet","1.4"
"3009752","OMNI GALAXY TRANSPORTATION INC","ATM","ONT","24","2097","2935.8","20240610 232459.000","20240612 155614.000","LTL-Fleet","1.4"
"3009652","OMNI GALAXY TRANSPORTATION INC","ONT","CHT-AVRT","23","2334","3267.6","20240608 122300.000","20240610 105312.000","LTL-Fleet","1.4"
"3009621","OMNI GALAXY TRANSPORTATION INC","ONT","ATM","23","2097","2935.8","20240608 225100.000","20240611 010855.000","LTL-Fleet","1.4"
"3009144","OMNI GALAXY TRANSPORTATION INC","EWR","DEN-DLDS","23","1764","2470.02","20240606 230413.000","20240608 054234.000","LTL-Fleet","1.4"
"3008993","OMNI GALAXY TRANSPORTATION INC","DAL","EWR","23","1525","2135","20240605 035100.000","20240606 102755.000","LTL-Fleet","1.4"
"3008794","OMNI GALAXY TRANSPORTATION INC","ONT","DAL","23","1304","1825.6","20240604 002025.000","20240605 031928.000","LTL-Fleet","1.4"
"3008772","OMNI GALAXY TRANSPORTATION INC","ATB-SEFL","ONT","23","2097","2935.8","20240604 095000.000","20240605 233251.000","LTL-Fleet","1.4"
"3008242","OMNI GALAXY TRANSPORTATION INC","LAX","ATL","22","2131","2983.4","20240601 014000.000","20240603 052652.000","LTL-Fleet","1.4"
"3010035","MUSA LOGISTICS INC","LAX","DAL","24","1350","4144.5","20240611 235005.000","20240613 065240.000","LTL- 1way","3.07"
"3009792","MUSA LOGISTICS INC","LAX","DAL","24","1350","4144.5","20240610 235000.000","20240612 093442.000","LTL- 1way","3.07"
